?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/GO_0023051>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of signaling"	
<http://purl.obolibrary.org/obo/GO_0140975>	<http://www.w3.org/2000/01/rdf-schema#label>	"disruption of cellular anatomical structure in another organism"	
<http://purl.obolibrary.org/obo/GO_1902883>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of response to oxidative stress"	
<http://purl.obolibrary.org/obo/GO_0044281>	<http://www.w3.org/2000/01/rdf-schema#label>	"small molecule metabolic process"	
<http://purl.obolibrary.org/obo/GO_1900121>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of receptor binding"	
<http://purl.obolibrary.org/obo/GO_0010938>	<http://www.w3.org/2000/01/rdf-schema#label>	"cytoplasmic microtubule depolymerization"	
<http://purl.obolibrary.org/obo/GO_0045963>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of dopamine metabolic process"	
<http://purl.obolibrary.org/obo/GO_0048638>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of developmental growth"	
<http://purl.obolibrary.org/obo/GO_0046827>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of protein export from nucleus"	
<http://purl.obolibrary.org/obo/GO_1905155>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of membrane invagination"	
<http://purl.obolibrary.org/obo/GO_0099518>	<http://www.w3.org/2000/01/rdf-schema#label>	"vesicle cytoskeletal trafficking"	
<http://purl.obolibrary.org/obo/GO_0001934>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of protein phosphorylation"	
<http://purl.obolibrary.org/obo/GO_2000294>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of defecation"	
<http://purl.obolibrary.org/obo/GO_0045921>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of exocytosis"	
<http://purl.obolibrary.org/obo/GO_1901859>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of mitochondrial DNA metabolic process"	
<http://purl.obolibrary.org/obo/GO_0007346>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of mitotic cell cycle"	
<http://purl.obolibrary.org/obo/GO_0050804>	<http://www.w3.org/2000/01/rdf-schema#label>	"modulation of chemical synaptic transmission"	
<http://purl.obolibrary.org/obo/GO_0009894>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of catabolic process"	
<http://purl.obolibrary.org/obo/GO_0022409>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of cell-cell adhesion"	
<http://purl.obolibrary.org/obo/GO_1904351>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of protein catabolic process in the vacuole"	
<http://purl.obolibrary.org/obo/GO_0060627>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of vesicle-mediated transport"	
<http://purl.obolibrary.org/obo/GO_0044091>	<http://www.w3.org/2000/01/rdf-schema#label>	"membrane biogenesis"	
<http://purl.obolibrary.org/obo/GO_0048520>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of behavior"	
<http://purl.obolibrary.org/obo/GO_0043067>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of programmed cell death"	
<http://purl.obolibrary.org/obo/GO_0001101>	<http://www.w3.org/2000/01/rdf-schema#label>	"response to acid chemical"	
<http://purl.obolibrary.org/obo/GO_0080171>	<http://www.w3.org/2000/01/rdf-schema#label>	"lytic vacuole organization"	
<http://purl.obolibrary.org/obo/GO_2001233>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of apoptotic signaling pathway"	
<http://purl.obolibrary.org/obo/GO_0051447>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of meiotic cell cycle"	
<http://purl.obolibrary.org/obo/GO_0001558>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of cell growth"	
<http://purl.obolibrary.org/obo/GO_0043233>	<http://www.w3.org/2000/01/rdf-schema#label>	"organelle lumen"	
<http://purl.obolibrary.org/obo/GO_0030335>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of cell migration"	
<http://purl.obolibrary.org/obo/GO_0031109>	<http://www.w3.org/2000/01/rdf-schema#label>	"microtubule polymerization or depolymerization"	
<http://purl.obolibrary.org/obo/GO_0098763>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitotic cell cycle phase"	
<http://purl.obolibrary.org/obo/GO_0048513>	<http://www.w3.org/2000/01/rdf-schema#label>	"animal organ development"	
<http://purl.obolibrary.org/obo/GO_0090297>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of mitochondrial DNA replication"	
<http://purl.obolibrary.org/obo/GO_0097060>	<http://www.w3.org/2000/01/rdf-schema#label>	"synaptic membrane"	
<http://purl.obolibrary.org/obo/GO_0030517>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of axon extension"	
<http://purl.obolibrary.org/obo/GO_0010389>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of G2/M transition of mitotic cell cycle"	
<http://purl.obolibrary.org/obo/GO_1905844>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of cellular response to gamma radiation"	
<http://purl.obolibrary.org/obo/GO_2000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of DNA damage checkpoint"	
<http://purl.obolibrary.org/obo/GO_0099536>	<http://www.w3.org/2000/01/rdf-schema#label>	"synaptic signaling"	
<http://purl.obolibrary.org/obo/GO_0007084>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitotic nuclear membrane reassembly"	
<http://purl.obolibrary.org/obo/GO_0016459>	<http://www.w3.org/2000/01/rdf-schema#label>	"myosin complex"	
<http://purl.obolibrary.org/obo/GO_1904409>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of secretory granule organization"	
<http://purl.obolibrary.org/obo/GO_2000019>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of male gonad development"	
<http://purl.obolibrary.org/obo/GO_0036465>	<http://www.w3.org/2000/01/rdf-schema#label>	"synaptic vesicle recycling"	
<http://purl.obolibrary.org/obo/GO_0048580>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of post-embryonic development"	
<http://purl.obolibrary.org/obo/GO_0044784>	<http://www.w3.org/2000/01/rdf-schema#label>	"metaphase/anaphase transition of cell cycle"	
<http://purl.obolibrary.org/obo/GO_0006390>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitochondrial transcription"	
<http://purl.obolibrary.org/obo/GO_0051493>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of cytoskeleton organization"	
<http://purl.obolibrary.org/obo/GO_1902667>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of axon guidance"	
<http://purl.obolibrary.org/obo/GO_0001704>	<http://www.w3.org/2000/01/rdf-schema#label>	"formation of primary germ layer"	
<http://purl.obolibrary.org/obo/GO_0045839>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of mitotic nuclear division"	
<http://purl.obolibrary.org/obo/GO_0045935>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of nucleobase-containing compound metabolic process"	
<http://purl.obolibrary.org/obo/GO_0006949>	<http://www.w3.org/2000/01/rdf-schema#label>	"syncytium formation"	
<http://purl.obolibrary.org/obo/GO_0048519>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of biological process"	
<http://purl.obolibrary.org/obo/GO_0051046>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of secretion"	
<http://purl.obolibrary.org/obo/GO_0099522>	<http://www.w3.org/2000/01/rdf-schema#label>	"cytosolic region"	
<http://purl.obolibrary.org/obo/GO_0009996>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of cell fate specification"	
<http://purl.obolibrary.org/obo/GO_0098764>	<http://www.w3.org/2000/01/rdf-schema#label>	"meiosis I cell cycle phase"	
<http://purl.obolibrary.org/obo/GO_0010965>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of mitotic sister chromatid separation"	
<http://purl.obolibrary.org/obo/GO_0071692>	<http://www.w3.org/2000/01/rdf-schema#label>	"protein localization to extracellular region"	
<http://purl.obolibrary.org/obo/GO_0048489>	<http://www.w3.org/2000/01/rdf-schema#label>	"synaptic vesicle transport"	
<http://purl.obolibrary.org/obo/GO_0070482>	<http://www.w3.org/2000/01/rdf-schema#label>	"response to oxygen levels"	
<http://purl.obolibrary.org/obo/GO_0098930>	<http://www.w3.org/2000/01/rdf-schema#label>	"axonal transport"	
<http://purl.obolibrary.org/obo/GO_0098797>	<http://www.w3.org/2000/01/rdf-schema#label>	"plasma membrane protein complex"	
<http://purl.obolibrary.org/obo/GO_0005938>	<http://www.w3.org/2000/01/rdf-schema#label>	"cell cortex"	
<http://purl.obolibrary.org/obo/GO_0030030>	<http://www.w3.org/2000/01/rdf-schema#label>	"cell projection organization"	
<http://purl.obolibrary.org/obo/GO_1904092>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of autophagic cell death"	
<http://purl.obolibrary.org/obo/GO_0007144>	<http://www.w3.org/2000/01/rdf-schema#label>	"female meiosis I"	
<http://purl.obolibrary.org/obo/GO_1901978>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of cell cycle checkpoint"	
<http://purl.obolibrary.org/obo/GO_0042753>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of circadian rhythm"	
<http://purl.obolibrary.org/obo/GO_0051328>	<http://www.w3.org/2000/01/rdf-schema#label>	"meiotic interphase"	
<http://purl.obolibrary.org/obo/GO_0090317>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of intracellular protein transport"	
<http://purl.obolibrary.org/obo/GO_1900244>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of synaptic vesicle endocytosis"	
<http://purl.obolibrary.org/obo/GO_0051223>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of protein transport"	
<http://purl.obolibrary.org/obo/GO_0006974>	<http://www.w3.org/2000/01/rdf-schema#label>	"DNA damage response"	
<http://purl.obolibrary.org/obo/GO_0032535>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of cellular component size"	
<http://purl.obolibrary.org/obo/GO_0050776>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of immune response"	
<http://purl.obolibrary.org/obo/GO_1905146>	<http://www.w3.org/2000/01/rdf-schema#label>	"lysosomal protein catabolic process"	
<http://purl.obolibrary.org/obo/GO_0070585>	<http://www.w3.org/2000/01/rdf-schema#label>	"protein localization to mitochondrion"	
<http://purl.obolibrary.org/obo/GO_0051640>	<http://www.w3.org/2000/01/rdf-schema#label>	"organelle localization"	
<http://purl.obolibrary.org/obo/GO_0033238>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of amine metabolic process"	
<http://purl.obolibrary.org/obo/GO_1903370>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of foraging behavior"	
<http://purl.obolibrary.org/obo/GO_0051055>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of lipid biosynthetic process"	
<http://purl.obolibrary.org/obo/GO_0071704>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic substance metabolic process"	
<http://purl.obolibrary.org/obo/GO_0099577>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of translation at presynapse, modulating synaptic transmission"	
<http://purl.obolibrary.org/obo/GO_0048025>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of mRNA splicing, via spliceosome"	
<http://purl.obolibrary.org/obo/GO_0030133>	<http://www.w3.org/2000/01/rdf-schema#label>	"transport vesicle"	
<http://purl.obolibrary.org/obo/GO_0007005>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitochondrion organization"	
<http://purl.obolibrary.org/obo/GO_0071684>	<http://www.w3.org/2000/01/rdf-schema#label>	"organism emergence from protective structure"	
<http://purl.obolibrary.org/obo/GO_2000300>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of synaptic vesicle exocytosis"	
<http://purl.obolibrary.org/obo/GO_0061025>	<http://www.w3.org/2000/01/rdf-schema#label>	"membrane fusion"	
<http://purl.obolibrary.org/obo/GO_0099098>	<http://www.w3.org/2000/01/rdf-schema#label>	"microtubule polymerization based movement"	
<http://purl.obolibrary.org/obo/GO_0060284>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of cell development"	
<http://purl.obolibrary.org/obo/GO_0051716>	<http://www.w3.org/2000/01/rdf-schema#label>	"cellular response to stimulus"	
<http://purl.obolibrary.org/obo/GO_0090232>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of spindle checkpoint"	
<http://purl.obolibrary.org/obo/GO_1905821>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of chromosome condensation"	
<http://purl.obolibrary.org/obo/GO_0033240>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of amine metabolic process"	
<http://purl.obolibrary.org/obo/GO_0000959>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitochondrial RNA metabolic process"	
<http://purl.obolibrary.org/obo/GO_2000426>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of apoptotic cell clearance"	
<http://purl.obolibrary.org/obo/GO_0046890>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of lipid biosynthetic process"	
<http://purl.obolibrary.org/obo/GO_0006417>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of translation"	
<http://purl.obolibrary.org/obo/GO_0070161>	<http://www.w3.org/2000/01/rdf-schema#label>	"anchoring junction"	
<http://purl.obolibrary.org/obo/GO_0032062>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of translation in response to osmotic stress"	
<http://purl.obolibrary.org/obo/GO_0050657>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleic acid transport"	
<http://purl.obolibrary.org/obo/GO_0010324>	<http://www.w3.org/2000/01/rdf-schema#label>	"membrane invagination"	
<http://purl.obolibrary.org/obo/GO_0048585>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of response to stimulus"	
<http://purl.obolibrary.org/obo/GO_0045773>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of axon extension"	
<http://purl.obolibrary.org/obo/GO_0007623>	<http://www.w3.org/2000/01/rdf-schema#label>	"circadian rhythm"	
<http://purl.obolibrary.org/obo/GO_0010770>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of cell morphogenesis"	
<http://purl.obolibrary.org/obo/GO_2000383>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of ectoderm development"	
<http://purl.obolibrary.org/obo/GO_1900194>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of oocyte maturation"	
<http://purl.obolibrary.org/obo/GO_1901362>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic cyclic compound biosynthetic process"	
<http://purl.obolibrary.org/obo/GO_0051590>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of neurotransmitter transport"	
<http://purl.obolibrary.org/obo/GO_1901698>	<http://www.w3.org/2000/01/rdf-schema#label>	"response to nitrogen compound"	
<http://purl.obolibrary.org/obo/GO_0099569>	<http://www.w3.org/2000/01/rdf-schema#label>	"presynaptic cytoskeleton"	
<http://purl.obolibrary.org/obo/GO_1903464>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of mitotic cell cycle DNA replication"	
<http://purl.obolibrary.org/obo/GO_0051241>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of multicellular organismal process"	
<http://purl.obolibrary.org/obo/GO_0035966>	<http://www.w3.org/2000/01/rdf-schema#label>	"response to topologically incorrect protein"	
<http://purl.obolibrary.org/obo/GO_0022603>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of anatomical structure morphogenesis"	
<http://purl.obolibrary.org/obo/GO_2000827>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitochondrial RNA surveillance"	
<http://purl.obolibrary.org/obo/GO_0010937>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of cytoplasmic microtubule depolymerization"	
<http://purl.obolibrary.org/obo/GO_0044771>	<http://www.w3.org/2000/01/rdf-schema#label>	"meiotic cell cycle phase transition"	
<http://purl.obolibrary.org/obo/GO_0006403>	<http://www.w3.org/2000/01/rdf-schema#label>	"RNA localization"	
<http://purl.obolibrary.org/obo/GO_1905940>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of gonad development"	
<http://purl.obolibrary.org/obo/GO_0051254>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of RNA metabolic process"	
<http://purl.obolibrary.org/obo/GO_0060090>	<http://www.w3.org/2000/01/rdf-schema#label>	"molecular adaptor activity"	
<http://purl.obolibrary.org/obo/GO_1901616>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic hydroxy compound catabolic process"	
<http://purl.obolibrary.org/obo/GO_0032847>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of cellular pH reduction"	
<http://purl.obolibrary.org/obo/GO_1900180>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of protein localization to nucleus"	
<http://purl.obolibrary.org/obo/GO_0007088>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of mitotic nuclear division"	
<http://purl.obolibrary.org/obo/GO_1904350>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of protein catabolic process in the vacuole"	
<http://purl.obolibrary.org/obo/GO_0005775>	<http://www.w3.org/2000/01/rdf-schema#label>	"vacuolar lumen"	
<http://purl.obolibrary.org/obo/GO_0000963>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitochondrial RNA processing"	
<http://purl.obolibrary.org/obo/GO_0070125>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitochondrial translational elongation"	
<http://purl.obolibrary.org/obo/GO_0000022>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitotic spindle elongation"	
<http://purl.obolibrary.org/obo/GO_1904358>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of telomere maintenance via telomere lengthening"	
<http://purl.obolibrary.org/obo/GO_0030174>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of DNA-templated DNA replication initiation"	
<http://purl.obolibrary.org/obo/GO_2001229>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of response to gamma radiation"	
<http://purl.obolibrary.org/obo/GO_0050770>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of axonogenesis"	
<http://purl.obolibrary.org/obo/GO_0090224>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of spindle organization"	
<http://purl.obolibrary.org/obo/GO_0140243>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of translation at synapse"	
<http://purl.obolibrary.org/obo/GO_0010720>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of cell development"	
<http://purl.obolibrary.org/obo/GO_0071310>	<http://www.w3.org/2000/01/rdf-schema#label>	"cellular response to organic substance"	
<http://purl.obolibrary.org/obo/GO_0042439>	<http://www.w3.org/2000/01/rdf-schema#label>	"ethanolamine-containing compound metabolic process"	
<http://purl.obolibrary.org/obo/GO_0062012>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of small molecule metabolic process"	
<http://purl.obolibrary.org/obo/GO_0003008>	<http://www.w3.org/2000/01/rdf-schema#label>	"system process"	
<http://purl.obolibrary.org/obo/GO_1900087>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of G1/S transition of mitotic cell cycle"	
<http://purl.obolibrary.org/obo/GO_0050684>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of mRNA processing"	
<http://purl.obolibrary.org/obo/GO_1903531>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of secretion by cell"	
<http://purl.obolibrary.org/obo/GO_0070192>	<http://www.w3.org/2000/01/rdf-schema#label>	"chromosome organization involved in meiotic cell cycle"	
<http://purl.obolibrary.org/obo/GO_0007141>	<http://www.w3.org/2000/01/rdf-schema#label>	"male meiosis I"	
<http://purl.obolibrary.org/obo/GO_0040029>	<http://www.w3.org/2000/01/rdf-schema#label>	"epigenetic regulation of gene expression"	
<http://purl.obolibrary.org/obo/GO_1902807>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of cell cycle G1/S phase transition"	
<http://purl.obolibrary.org/obo/GO_0007498>	<http://www.w3.org/2000/01/rdf-schema#label>	"mesoderm development"	
<http://purl.obolibrary.org/obo/GO_1905671>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of lysosome organization"	
<http://purl.obolibrary.org/obo/GO_0010970>	<http://www.w3.org/2000/01/rdf-schema#label>	"transport along microtubule"	
<http://purl.obolibrary.org/obo/GO_0043525>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of neuron apoptotic process"	
<http://purl.obolibrary.org/obo/GO_1905133>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of meiotic chromosome separation"	
<http://purl.obolibrary.org/obo/GO_0032507>	<http://www.w3.org/2000/01/rdf-schema#label>	"maintenance of protein location in cell"	
<http://purl.obolibrary.org/obo/GO_0006270>	<http://www.w3.org/2000/01/rdf-schema#label>	"DNA replication initiation"	
<http://purl.obolibrary.org/obo/GO_1902533>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of intracellular signal transduction"	
<http://purl.obolibrary.org/obo/GO_0030641>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of cellular pH"	
<http://purl.obolibrary.org/obo/GO_1903307>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of regulated secretory pathway"	
<http://purl.obolibrary.org/obo/GO_0099550>	<http://www.w3.org/2000/01/rdf-schema#label>	"trans-synaptic signaling, modulating synaptic transmission"	
<http://purl.obolibrary.org/obo/GO_0007517>	<http://www.w3.org/2000/01/rdf-schema#label>	"muscle organ development"	
<http://purl.obolibrary.org/obo/GO_0006264>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitochondrial DNA replication"	
<http://purl.obolibrary.org/obo/GO_0061642>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemoattraction of axon"	
<http://purl.obolibrary.org/obo/GO_2000382>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of mesoderm development"	
<http://purl.obolibrary.org/obo/GO_0031348>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of defense response"	
<http://purl.obolibrary.org/obo/GO_0032101>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of response to external stimulus"	
<http://purl.obolibrary.org/obo/GO_0032095>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of response to food"	
<http://purl.obolibrary.org/obo/GO_0006810>	<http://www.w3.org/2000/01/rdf-schema#label>	"transport"	
<http://purl.obolibrary.org/obo/GO_0000086>	<http://www.w3.org/2000/01/rdf-schema#label>	"G2/M transition of mitotic cell cycle"	
<http://purl.obolibrary.org/obo/GO_0048518>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of biological process"	
<http://purl.obolibrary.org/obo/GO_0060903>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of meiosis I"	
<http://purl.obolibrary.org/obo/GO_1903466>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of mitotic DNA replication initiation"	
<http://purl.obolibrary.org/obo/GO_0003012>	<http://www.w3.org/2000/01/rdf-schema#label>	"muscle system process"	
<http://purl.obolibrary.org/obo/GO_0043058>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of backward locomotion"	
<http://purl.obolibrary.org/obo/GO_0008104>	<http://www.w3.org/2000/01/rdf-schema#label>	"protein localization"	
<http://purl.obolibrary.org/obo/GO_0051963>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of synapse assembly"	
<http://purl.obolibrary.org/obo/GO_0051149>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of muscle cell differentiation"	
<http://purl.obolibrary.org/obo/GO_0051304>	<http://www.w3.org/2000/01/rdf-schema#label>	"chromosome separation"	
<http://purl.obolibrary.org/obo/GO_0003379>	<http://www.w3.org/2000/01/rdf-schema#label>	"establishment of cell polarity involved in gastrulation cell migration"	
<http://purl.obolibrary.org/obo/GO_0045495>	<http://www.w3.org/2000/01/rdf-schema#label>	"pole plasm"	
<http://purl.obolibrary.org/obo/GO_1901610>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of vesicle transport along microtubule"	
<http://purl.obolibrary.org/obo/GO_1903829>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of protein localization"	
<http://purl.obolibrary.org/obo/GO_2001141>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of RNA biosynthetic process"	
<http://purl.obolibrary.org/obo/GO_1902903>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of supramolecular fiber organization"	
<http://purl.obolibrary.org/obo/GO_0009310>	<http://www.w3.org/2000/01/rdf-schema#label>	"amine catabolic process"	
<http://purl.obolibrary.org/obo/GO_0034504>	<http://www.w3.org/2000/01/rdf-schema#label>	"protein localization to nucleus"	
<http://purl.obolibrary.org/obo/GO_1901977>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of cell cycle checkpoint"	
<http://purl.obolibrary.org/obo/GO_0051327>	<http://www.w3.org/2000/01/rdf-schema#label>	"meiotic M phase"	
<http://purl.obolibrary.org/obo/GO_2000198>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of ribonucleoprotein complex localization"	
<http://purl.obolibrary.org/obo/GO_0000235>	<http://www.w3.org/2000/01/rdf-schema#label>	"astral microtubule"	
<http://purl.obolibrary.org/obo/GO_2001223>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of neuron migration"	
<http://purl.obolibrary.org/obo/GO_0051783>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of nuclear division"	
<http://purl.obolibrary.org/obo/GO_0097485>	<http://www.w3.org/2000/01/rdf-schema#label>	"neuron projection guidance"	
<http://purl.obolibrary.org/obo/GO_0034263>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of autophagy in response to ER overload"	
<http://purl.obolibrary.org/obo/GO_0046929>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of neurotransmitter secretion"	
<http://purl.obolibrary.org/obo/GO_0050926>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of positive chemotaxis"	
<http://purl.obolibrary.org/obo/GO_0042401>	<http://www.w3.org/2000/01/rdf-schema#label>	"biogenic amine biosynthetic process"	
<http://purl.obolibrary.org/obo/GO_1903744>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of anterograde synaptic vesicle transport"	
<http://purl.obolibrary.org/obo/GO_0009056>	<http://www.w3.org/2000/01/rdf-schema#label>	"catabolic process"	
<http://purl.obolibrary.org/obo/GO_1903187>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of vitellogenesis"	
<http://purl.obolibrary.org/obo/GO_0023056>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of signaling"	
<http://purl.obolibrary.org/obo/GO_0033119>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of RNA splicing"	
<http://purl.obolibrary.org/obo/GO_0045927>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of growth"	
<http://purl.obolibrary.org/obo/GO_0022414>	<http://www.w3.org/2000/01/rdf-schema#label>	"reproductive process"	
<http://purl.obolibrary.org/obo/GO_0099500>	<http://www.w3.org/2000/01/rdf-schema#label>	"vesicle fusion to plasma membrane"	
<http://purl.obolibrary.org/obo/GO_0060456>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of digestive system process"	
<http://purl.obolibrary.org/obo/GO_0043086>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of catalytic activity"	
